,A,B,C
271,1,8,1
272,2,4,0
273,0,6,1
274,2,6,1
275,2,5,0
276,2,2,1
277,1,9,0
278,3,7,0
279,1,4,0
280,2,4,1
281,2,2,1
282,1,3,1
283,1,5,2
284,0,4,2
285,1,13,0
286,0,2,1
287,1,3,3
288,0,2,0
289,2,6,1
290,2,4,0
291,1,6,0
292,2,5,2
293,2,3,0
294,0,2,1
295,1,5,1
296,2,2,0
297,4,4,1
298,2,4,1
299,0,3,0
300,1,8,1
301,0,4,1
302,2,1,0
303,0,11,0
304,4,5,1
305,1,6,3
306,0,3,0
307,2,5,1
308,0,3,0
309,0,6,1
310,2,3,0
311,2,5,0
312,1,4,2
313,2,8,0
314,2,2,0
315,2,6,0
316,0,3,1
317,3,7,1
318,0,4,1
319,0,10,1
320,1,4,0
321,1,2,0
322,2,3,1
323,3,8,2
324,2,1,0
325,1,3,2
326,2,2,0
327,3,1,0
328,1,5,1
329,3,5,0
330,2,3,2
331,1,9,1
332,2,6,1
333,2,3,0
334,4,6,0
335,3,4,0
336,0,6,0
337,0,4,0
338,2,6,0
339,1,2,0
340,0,2,1
341,0,9,1
342,3,5,1
343,3,8,1
344,1,4,1
345,1,5,1
346,1,3,2
347,1,4,3
348,1,2,0
349,1,5,2
350,2,3,0
351,1,6,0
352,0,4,1
353,2,4,0
354,1,4,2
355,1,5,2
356,0,14,0
357,0,4,1
358,2,9,0
359,2,6,3
360,2,4,1
361,6,7,0
362,0,8,0
363,0,5,0
364,0,5,0
365,1,4,2
366,1,4,2
367,1,4,0
368,3,8,0
369,4,3,0
370,2,2,0
371,1,7,1
372,2,5,0
373,2,3,0
374,2,6,3
375,2,6,1
376,1,4,2
377,3,2,2
378,3,7,0
379,0,6,0
380,0,4,0
381,3,5,1
382,0,2,0
383,3,7,1
384,2,2,0
385,1,6,0
386,1,4,0
387,1,8,1
388,5,9,0
389,0,4,2
390,3,5,0
391,0,4,0
392,1,7,0
393,2,2,1
394,1,3,0
395,3,6,0
396,3,2,1
397,4,3,2
398,2,8,0
399,0,5,0
400,1,6,1
401,3,2,0
402,2,2,0
403,1,3,2
404,2,3,1
405,2,5,0
406,3,5,0
407,1,3,2
408,4,9,0
409,3,2,0
410,1,6,2
411,1,7,0
412,2,3,1
413,1,10,0
414,3,5,1
415,1,1,1
416,3,10,2
417,3,4,0
418,3,7,0
419,1,9,1
420,2,2,2
421,0,5,0
422,2,5,0
423,2,2,2
424,1,10,1
425,1,2,1
426,1,3,1
427,2,5,0
428,0,1,0
429,0,7,2
430,2,4,2
431,3,2,2
432,2,6,0
433,1,7,1
434,2,2,0
435,0,4,0
436,4,7,0
437,1,4,0
438,1,2,2
439,1,6,1
440,2,6,0
441,5,3,1
442,1,8,0
443,1,7,1
444,4,5,1
445,1,7,3
446,1,7,0
447,1,6,2
448,3,5,0
449,1,2,1
450,2,5,0
451,1,4,1
452,4,10,0
453,2,2,1
454,2,4,0
455,0,3,2
456,0,6,2
457,1,3,1
458,3,4,0
459,2,3,2
460,3,3,1
461,2,1,1
462,1,9,1
463,1,4,0
464,3,4,0
465,4,6,1
466,1,4,2
467,2,6,0
468,1,4,0
469,4,7,1
470,1,6,1
471,3,5,0
472,1,2,0
473,2,9,0
474,1,7,0
475,1,5,0
476,0,7,0
477,1,1,0
478,4,6,1
479,5,5,0
480,4,4,1
481,1,3,0
482,4,3,0
483,5,4,2
484,1,3,3
485,0,4,3
486,3,5,0
487,0,3,0
488,2,2,1
489,2,2,0
490,0,4,1
491,1,1,0
492,3,2,0
493,3,4,1
494,2,8,0
495,0,6,0
496,2,5,0
497,0,2,2
498,1,6,2
499,3,6,0
500,3,2,1
501,1,5,2
502,2,6,0
503,2,6,0
504,0,2,2
505,0,7,1
506,1,4,1
507,0,6,2
508,5,1,0
509,1,5,0
510,0,6,2
511,1,4,1
512,1,0,1
513,3,5,0
514,2,5,3
515,4,3,1
516,0,3,0
517,2,4,0
518,3,5,1
519,1,3,0
520,3,3,1
521,1,5,0
522,2,6,0
523,0,4,0
524,1,3,0
525,1,3,3
526,2,5,1
527,3,2,3
528,1,1,0
529,2,8,0
530,1,3,2
531,3,6,0
532,0,3,1
533,0,3,1
534,1,4,2
535,1,4,0
536,4,11,0
537,2,2,1
538,3,4,0
539,5,3,2
540,1,9,0
541,1,4,1
542,3,3,2
543,2,6,1
544,2,5,1
545,1,6,3
546,4,4,2
547,3,2,0
548,1,6,0
549,1,3,2
550,2,2,1
551,5,2,2
552,1,3,0
553,1,2,0
554,1,5,0
555,0,5,0
556,5,3,0
557,2,6,1
558,0,2,0
559,1,5,1
560,1,9,0
561,1,2,1
562,0,4,4
563,0,2,1
564,2,1,1
565,3,4,1
566,1,4,1
567,0,7,1
568,1,3,1
569,2,6,0
570,3,4,1
571,1,3,0
572,1,5,0
573,0,11,3
574,2,4,0
575,1,4,0
576,1,5,1
577,2,4,2
578,3,5,2
579,1,4,2
580,1,4,1
581,2,6,1
582,3,1,1
583,2,3,0
584,1,2,1
585,2,8,2
586,3,5,1
587,1,3,0
588,0,5,3
589,3,6,0
590,3,5,1
591,2,4,1
592,3,6,0
593,0,4,1
594,1,5,1
595,0,5,1
596,0,6,1
597,3,4,1
598,0,2,1
599,0,4,0
600,2,2,1
601,0,6,1
602,1,5,0
603,2,3,2
604,4,4,1
605,1,4,0
606,0,5,3
607,1,6,0
608,3,4,0
609,1,7,0
610,2,3,0
611,1,7,2
612,1,2,0
613,4,4,2
614,1,4,0
615,0,6,2
616,2,7,3
617,1,4,2
618,3,6,1
619,2,7,0
620,0,6,1
621,2,8,1
622,2,2,1
623,1,1,2
624,1,3,1
625,2,7,3
626,2,6,1
627,2,3,0
628,1,5,1
629,0,8,2
630,1,5,3
631,3,1,3
632,1,3,0
633,1,6,1
634,2,6,0
635,1,8,0
636,2,2,2
637,0,6,1
638,2,3,0
639,0,6,0
640,0,4,3
641,2,8,3
642,0,6,2
643,5,5,0
644,1,5,2
645,1,2,2
646,1,7,1
647,2,4,2
648,4,3,0
649,2,5,0
650,1,5,1
651,3,3,0
652,4,1,1
653,2,2,0
654,1,5,2
655,2,3,0
656,0,2,1
657,0,5,1
658,1,3,1
659,0,5,0
660,0,4,0
661,0,5,4
662,0,7,0
663,0,5,1
664,1,10,0
665,0,3,0
666,2,7,0
667,2,9,2
668,3,3,1
669,0,1,0
670,2,6,1
671,4,5,0
672,1,2,0
673,4,7,2
674,1,3,0
675,3,5,1
676,1,7,1
677,1,8,0
678,3,4,0
679,3,4,1
680,0,3,0
681,3,6,0
682,0,2,0
683,2,0,3
684,2,10,2
685,1,5,2
686,0,2,1
687,0,2,1
688,1,3,1
689,1,2,0
690,3,3,1
691,4,8,1
692,1,4,1
693,1,6,0
694,2,4,1
695,2,3,2
696,1,2,0
697,2,4,1
698,1,1,0
699,0,2,1
700,0,4,1
701,2,7,1
702,0,4,2
703,0,4,0
704,0,11,1
705,2,6,1
706,2,4,1
707,1,4,1
708,1,6,2
709,3,0,2
710,1,3,0
711,1,2,0
712,0,5,2
713,2,8,1
714,0,3,0
715,3,7,2
716,2,5,0
717,1,6,0
718,2,5,0
719,2,7,0
720,2,0,0
721,3,3,2
722,0,9,0
723,1,4,1
724,1,2,0
725,2,4,0
726,0,6,0
727,2,4,1
728,0,10,2
729,3,4,1
730,3,3,1
731,2,8,0
732,0,7,3
733,0,0,3
734,0,8,3
735,1,7,0
736,2,8,0
737,0,5,0
738,0,5,0
739,3,7,0
740,1,3,1
741,1,6,0
742,3,4,1
743,1,4,2
744,3,2,0
745,6,4,1
746,1,6,3
747,1,7,0
748,2,1,0
749,2,3,0
750,5,4,0
751,1,5,2
752,1,5,0
753,3,7,0
754,0,3,1
755,2,6,0
756,3,5,1
757,0,5,0
758,0,5,0
759,1,4,1
760,4,3,1
761,3,3,1
762,3,2,4
763,3,0,1
764,1,4,1
765,0,4,2
766,0,3,0
767,2,3,0
768,0,8,0
769,2,5,0
770,0,1,0
771,2,4,1
772,0,4,0
773,1,8,0
774,1,6,1
775,1,1,0
776,1,8,0
777,2,4,1
778,2,7,1
779,1,5,3
780,1,6,2
781,3,2,0
782,0,5,0
783,2,2,1
784,2,3,3
785,1,3,0
786,3,6,0
787,1,2,0
788,4,7,1
789,0,2,0
790,3,3,2
791,3,5,1
792,1,5,1
793,2,6,0
794,2,5,1
795,2,3,0
796,1,7,0
797,1,6,0
798,5,2,0
799,3,4,2
800,4,3,0
801,0,3,1
802,0,9,2
803,1,5,0
804,4,6,1
805,2,7,0
806,1,6,0
807,2,4,4
808,1,1,0
809,0,1,1
810,1,4,2
811,1,5,2
812,2,8,0
813,1,7,0
814,1,2,1
815,0,1,1
816,2,1,1
817,1,4,2
818,0,8,0
819,3,5,1
820,0,4,3
821,5,3,1
822,2,5,1
823,3,1,0
824,2,2,2
825,0,7,0
826,1,3,2
827,2,2,1
828,1,1,3
829,2,7,1
830,1,0,1
831,1,3,0
832,0,7,1
833,3,5,1
834,3,6,1
835,1,7,0
836,2,4,1
837,1,4,1
838,0,4,1
839,2,7,0
840,0,3,0
841,3,7,4
842,1,5,1
843,3,5,3
844,2,5,1
845,0,4,0
846,3,3,3
847,2,3,1
848,2,7,1
849,1,4,0
850,1,3,1
851,1,0,0
852,1,5,1
853,1,6,1
854,1,3,0
855,2,1,1
856,0,4,0
857,1,5,4
858,0,3,1
859,2,5,1
860,2,3,2
861,2,6,0
862,1,3,0
863,0,3,1
864,2,3,0
865,1,7,1
866,4,4,1
867,0,3,0
868,0,6,1
869,2,3,1
870,2,4,2
871,0,5,1
872,1,4,2
873,1,6,1
874,3,1,2
875,1,1,2
876,2,7,1
877,1,3,1
878,2,5,0
879,1,3,0
880,1,4,0
881,1,2,1
882,2,6,0
883,3,4,0
884,2,4,0
885,1,3,0
886,0,10,2
887,3,5,1
888,2,3,0
889,1,2,2
890,3,6,1
891,2,5,1
892,3,6,0
893,0,5,0
894,0,3,0
895,1,4,1
896,0,5,3
897,1,7,2
898,2,1,0
899,0,4,1
900,1,5,1
901,4,6,0
902,4,3,0
903,0,5,0
904,2,4,1
905,1,1,0
906,1,6,1
907,1,5,1
908,3,5,0
909,0,3,1
910,2,6,2
911,1,2,0
912,0,2,0
913,0,3,1
914,0,2,2
915,1,3,1
916,0,2,1
917,2,10,2
918,1,2,1
919,4,4,0
920,1,8,1
921,2,5,1
922,0,3,2
923,1,4,2
924,3,6,0
925,1,5,0
926,2,4,1
927,1,3,3
928,2,7,1
929,3,5,1
930,0,2,1
931,2,7,1
932,2,3,2
933,2,2,0
934,0,6,0
935,1,8,2
936,1,7,1
937,4,3,0
938,1,6,0
939,2,5,2
940,1,4,3
941,2,2,1
942,2,7,1
943,1,6,2
944,1,6,3
945,2,5,2
946,1,8,0
947,0,5,0
948,3,6,0
949,1,4,0
950,3,6,0
951,2,6,0
952,2,2,1
953,3,5,0
954,2,2,1
955,1,2,0
956,1,8,0
957,0,2,0
958,1,4,2
959,4,9,0
960,2,4,1
961,1,11,2
962,0,1,1
963,3,2,0
964,1,2,1
965,3,4,0
966,5,3,0
967,5,5,0
968,1,5,0
969,0,3,3
970,1,4,0
971,1,4,0
972,3,5,0
973,1,4,0
974,1,9,0
975,2,5,4
976,1,3,0
977,2,4,0
978,3,2,1
979,1,3,1
980,0,4,0
981,0,5,0
982,0,3,1
983,1,3,1
984,0,8,0
985,3,9,0
986,2,1,1
987,0,4,1
988,2,5,3
989,4,4,1
990,0,7,1
991,2,4,2
992,5,3,1
993,0,4,0
994,0,5,2
995,1,10,1
996,2,6,4
997,1,5,1
998,4,1,0
999,0,5,0
1000,1,2,1
1001,1,5,2
1002,2,6,2
1003,0,2,0
1004,0,5,0
1005,4,9,2
1006,1,1,0
1007,1,3,0
1008,1,3,2
1009,2,5,0
1010,3,4,1
1011,1,6,1
1012,2,6,1
1013,2,3,1
1014,1,3,1
1015,2,5,0
1016,2,4,1
1017,0,6,0
1018,2,6,0
1019,2,3,1
1020,4,3,0
1021,0,3,2
1022,1,6,0
1023,1,5,0
1024,2,2,2
1025,2,5,0
1026,1,2,1
1027,1,5,0
1028,1,6,3
1029,2,5,0
1030,0,3,2
1031,4,5,1
1032,2,5,0
1033,2,7,1
1034,1,7,0
1035,1,3,0
1036,1,2,0
1037,2,6,1
1038,0,6,0
1039,1,5,1
1040,0,5,1
1041,1,3,0
1042,1,2,2
1043,2,4,2
1044,1,2,1
1045,1,10,1
1046,1,1,1
1047,0,1,1
1048,3,4,0
1049,1,8,1
1050,2,11,1
1051,1,6,0
1052,3,6,0
1053,1,3,1
1054,1,2,1
1055,0,2,1
1056,5,2,1
1057,0,3,1
1058,0,9,0
1059,2,4,2
1060,5,3,0
1061,2,3,1
1062,1,4,0
1063,2,5,0
1064,1,3,1
1065,2,3,2
1066,3,5,0
1067,0,5,0
1068,1,5,1
1069,0,3,0
1070,4,6,0
1071,0,6,1
1072,3,6,0
1073,0,5,0
1074,3,6,0
1075,2,3,1
1076,2,5,0
1077,2,5,1
1078,2,2,0
1079,3,3,1
1080,1,6,2
1081,1,4,1
1082,2,3,1
1083,1,4,1
1084,1,4,0
1085,1,7,0
1086,4,4,2
1087,2,6,0
1088,0,3,1
1089,3,4,2
1090,1,4,1
1091,3,5,2
1092,0,2,0
1093,0,4,2
1094,0,7,1
1095,1,4,3
1096,2,4,0
1097,1,8,1
1098,1,4,1
1099,4,7,0
1100,3,6,1
1101,0,3,1
1102,0,5,2
1103,4,6,0
1104,0,4,1
1105,2,2,3
1106,1,5,1
1107,1,3,0
1108,3,6,0
1109,2,5,2
1110,0,3,2
1111,2,7,1
1112,2,4,2
1113,0,8,1
1114,1,6,0
1115,1,5,0
1116,1,0,0
1117,2,3,0
1118,1,4,1
1119,3,3,1
1120,0,4,0
1121,1,1,2
1122,0,8,1
1123,0,6,2
1124,2,4,0
1125,2,8,0
1126,3,5,0
1127,2,9,0
1128,1,6,1
1129,0,5,0
1130,1,2,0
1131,3,6,2
1132,0,4,1
1133,2,2,2
1134,0,3,2
1135,1,7,0
1136,2,5,0
1137,1,9,1
1138,2,6,0
1139,1,7,0
1140,2,6,2
1141,1,5,1
1142,0,5,1
1143,0,3,1
1144,1,4,1
1145,2,3,0
1146,1,5,0
1147,2,2,0
1148,0,3,1
1149,2,5,1
1150,1,3,0
1151,1,3,1
1152,1,7,1
1153,1,3,0
1154,1,7,2
1155,3,5,1
1156,2,5,1
1157,2,0,0
1158,1,4,0
1159,1,4,1
1160,2,4,0
1161,0,6,0
1162,0,3,1
1163,1,3,1
1164,0,7,1
1165,2,4,1
1166,0,0,1
1167,3,2,2
1168,3,5,3
1169,1,5,0
1170,0,8,1
1171,2,6,0
1172,0,2,1
1173,1,5,1
1174,1,2,1
1175,0,4,0
1176,3,7,1
1177,1,5,0
1178,1,6,1
1179,1,5,0
1180,1,4,3
1181,4,3,1
1182,4,2,0
1183,1,5,2
1184,1,4,0
1185,0,2,3
1186,2,6,1
1187,0,2,0
1188,0,5,0
1189,0,2,1
1190,1,7,1
1191,0,4,0
1192,1,8,2
1193,0,3,1
1194,1,2,0
1195,1,4,1
1196,1,6,2
1197,2,4,0
1198,1,3,1
1199,1,6,0
1200,1,4,1
1201,2,5,1
1202,2,5,2
1203,1,4,0
1204,1,4,1
1205,1,5,1
1206,0,7,1
1207,0,6,1
1208,3,6,3
1209,2,4,1
1210,0,2,1
1211,2,6,2
1212,3,4,1
1213,4,5,1
1214,3,5,2
1215,2,1,1
1216,4,2,0
1217,2,2,2
1218,3,4,1
1219,1,12,2
1220,2,2,1
1221,1,5,1
1222,2,4,0
1223,0,2,1
1224,1,4,1
1225,1,5,2
1226,3,6,2
1227,5,3,0
1228,1,11,2
1229,4,4,0
1230,1,4,0
1231,1,5,0
1232,1,3,0
1233,3,4,0
1234,1,4,1
1235,1,2,2
1236,1,4,0
1237,1,7,0
1238,3,2,1
1239,0,3,3
1240,2,3,0
1241,1,7,2
1242,3,5,0
1243,1,3,0
1244,2,9,0
1245,5,9,0
1246,2,7,0
1247,3,7,0
1248,3,2,0
1249,1,4,0
1250,1,5,1
1251,1,5,0
1252,1,2,0
1253,2,4,0
1254,1,7,0
1255,7,6,1
1256,3,5,1
1257,3,4,0
1258,2,5,0
1259,2,6,1
1260,0,5,2
1261,2,7,0
1262,3,4,1
1263,2,6,0
1264,1,6,1
1265,1,3,1
1266,2,4,2
1267,3,2,1
1268,1,8,1
1269,1,3,1
1270,3,6,1
1271,0,6,1
1272,2,0,0
1273,2,8,1
1274,3,2,1
1275,1,7,0
1276,0,7,1
1277,1,6,0
1278,0,3,2
1279,2,3,1
1280,2,7,1
1281,3,2,0
1282,1,6,1
1283,1,3,0
1284,1,1,1
1285,3,3,0
1286,2,7,3
1287,1,9,3
1288,0,3,0
1289,0,7,1
1290,2,5,2
1291,3,3,2
1292,1,6,1
1293,1,1,2
1294,6,7,2
1295,2,4,0
1296,1,8,1
1297,3,4,2
1298,0,8,0
1299,2,4,1
1300,0,7,2
1301,3,4,0
1302,1,3,0
1303,0,4,1
1304,4,5,0
1305,1,5,0
1306,1,1,0
1307,3,5,0
1308,2,5,1
1309,4,4,1
1310,4,4,3
1311,3,5,2
1312,3,4,0
1313,3,4,1
1314,2,3,0
1315,0,2,0
1316,2,1,1
1317,4,6,1
1318,1,4,1
1319,0,3,1
1320,1,2,1
1321,1,4,0
1322,0,4,0
1323,0,2,2
1324,5,3,0
1325,3,9,0
1326,6,7,0
1327,2,3,2
1328,2,6,0
1329,1,11,0
1330,1,6,1
1331,1,4,0
1332,1,5,2
1333,5,5,0
1334,1,4,1
1335,2,5,2
1336,1,4,1
1337,1,4,0
1338,3,1,0
1339,2,3,1
1340,1,6,3
1341,6,2,0
1342,1,4,1
1343,0,3,0
1344,0,7,0
1345,4,5,0
1346,1,2,0
1347,0,2,3
1348,1,2,0
1349,1,2,1
1350,3,2,2
1351,2,3,0
1352,1,3,0
1353,0,6,2
1354,1,3,1
1355,0,5,1
1356,7,0,1
1357,2,4,0
1358,2,5,0
1359,2,4,0
1360,0,7,2
1361,1,4,0
1362,1,3,0
1363,3,7,1
1364,2,0,0
1365,3,5,1
1366,2,5,0
1367,3,2,2
1368,1,5,1
1369,1,4,1
1370,2,9,2
1371,2,6,2
1372,0,5,2
1373,2,4,1
1374,2,6,0
1375,0,3,0
1376,3,3,1
1377,2,6,0
1378,3,8,0
1379,1,3,0
1380,0,9,1
1381,2,1,0
1382,2,4,2
1383,3,4,2
1384,2,3,0
1385,2,5,0
1386,0,4,0
1387,2,5,1
1388,0,4,2
1389,1,4,0
1390,1,6,1
1391,1,9,0
1392,2,6,0
1393,0,3,0
1394,1,3,1
1395,3,5,1
1396,2,3,0
1397,1,7,0
1398,1,3,1
1399,0,2,0
1400,2,5,1
1401,1,4,1
1402,1,8,1
1403,0,7,2
1404,4,5,0
1405,1,1,1
1406,0,7,2
1407,1,3,1
1408,0,4,1
1409,2,0,0
1410,2,6,0
1411,3,3,1
1412,2,3,1
1413,0,5,3
1414,1,3,0
1415,2,3,1
1416,2,5,0
1417,0,5,1
1418,2,7,0
1419,2,5,1
1420,0,2,1
1421,0,6,0
1422,0,2,1
1423,2,6,1
1424,1,3,0
1425,3,7,1
1426,1,6,3
1427,0,5,1
1428,2,3,1
1429,2,4,1
1430,1,6,0
1431,3,4,0
1432,0,9,0
1433,4,5,2
1434,0,3,0
1435,1,4,1
1436,3,5,3
1437,1,5,0
1438,1,2,0
1439,2,7,0
1440,1,1,1
1441,1,4,1
1442,1,8,0
1443,2,8,0
1444,1,3,0
1445,1,3,0
1446,5,5,0
1447,1,6,1
1448,0,8,1
1449,5,6,0
1450,2,6,1
1451,0,8,0
1452,4,5,0
1453,0,4,1
1454,3,5,2
1455,1,6,1
1456,0,6,0
1457,1,2,0
1458,3,2,0
1459,1,2,0
1460,1,5,1
1461,0,5,3
1462,0,4,2
1463,0,6,1
1464,1,5,1
1465,0,4,0
1466,0,4,1
1467,1,5,1
1468,4,4,0
1469,2,6,2
1470,1,5,0
1471,3,2,0
1472,2,3,0
1473,1,3,4
1474,1,0,0
1475,3,3,1
1476,1,3,1
1477,1,1,0
1478,0,6,0
1479,0,1,0
1480,3,5,1
1481,2,1,0
1482,2,7,1
1483,1,3,2
1484,3,7,0
1485,1,9,1
1486,0,5,1
1487,0,5,0
1488,1,4,1
1489,1,4,0
1490,1,1,2
1491,3,2,1
1492,2,6,0
1493,3,4,3
1494,3,3,1
1495,1,3,1
1496,1,5,0
1497,2,7,0
1498,3,5,0
1499,5,8,0
1500,2,7,0
1501,1,3,1
1502,1,6,0
1503,4,5,1
1504,3,3,1
1505,1,3,0
1506,4,2,2
1507,0,5,1
1508,0,3,1
1509,2,1,0
1510,0,7,0
1511,2,4,0
1512,2,3,1
1513,1,5,1
1514,1,5,0
1515,2,3,0
1516,0,4,0
1517,2,5,0
1518,2,6,0
1519,1,2,1
1520,6,10,1
1521,1,3,1
1522,2,2,2
1523,0,7,0
1524,1,4,1
1525,0,5,0
1526,0,7,0
1527,0,8,0
1528,1,6,1
1529,1,5,0
1530,2,9,1
1531,2,6,0
1532,1,6,0
1533,1,2,0
1534,1,5,2
1535,2,4,2
1536,4,4,2
1537,2,3,0
1538,2,3,1
1539,1,2,0
1540,2,5,0
1541,0,6,2
1542,2,3,0
1543,0,0,3
1544,0,7,0
1545,2,8,1
1546,2,2,1
1547,1,3,0
1548,1,2,1
1549,1,2,0
1550,0,6,0
1551,0,5,1
1552,2,6,5
1553,2,2,0
1554,3,4,1
1555,3,5,0
1556,1,5,1
1557,1,2,3
1558,1,4,1
1559,1,4,0
1560,1,4,1
1561,2,2,1
1562,0,4,0
1563,3,2,0
1564,0,2,2
1565,1,4,2
1566,0,9,2
1567,0,8,0
1568,0,4,0
1569,1,5,0
1570,1,3,2
1571,0,9,0
1572,2,8,0
1573,1,4,0
1574,1,2,1
1575,1,3,0
1576,2,5,1
1577,0,6,0
1578,1,5,2
1579,2,5,0
1580,0,3,0
1581,1,5,2
1582,5,5,1
1583,2,6,3
1584,3,6,2
1585,1,8,0
1586,1,5,0
1587,1,5,0
1588,0,7,1
1589,1,3,4
1590,0,6,1
1591,0,4,1
1592,1,4,1
1593,2,4,1
1594,0,2,2
1595,0,5,0
1596,0,7,1
1597,3,4,1
1598,1,3,0
1599,0,6,1
1600,1,7,1
1601,0,7,0
1602,2,3,0
1603,1,3,3
1604,2,0,2
1605,4,4,0
1606,1,6,0
1607,3,3,1
1608,1,2,2
1609,2,10,0
1610,1,6,3
1611,2,3,2
1612,3,7,0
1613,2,3,0
1614,4,7,2
1615,3,5,0
1616,0,6,2
1617,0,1,0
1618,1,7,0
1619,1,4,1
1620,0,8,1
1621,4,7,0
1622,1,4,1
1623,2,1,2
1624,2,8,0
1625,2,6,1
1626,0,1,0
1627,2,6,1
1628,5,4,0
1629,0,4,1
1630,3,6,2
1631,1,6,1
1632,2,5,0
1633,1,5,1
1634,1,4,3
1635,1,9,0
1636,3,6,2
1637,1,5,1
1638,1,4,1
1639,5,5,2
1640,1,7,0
1641,0,7,1
1642,0,3,1
1643,0,4,1
1644,4,6,0
1645,2,4,1
1646,1,4,2
1647,3,7,1
1648,2,5,1
1649,2,2,0
1650,1,4,1
1651,2,8,0
1652,2,4,2
1653,1,4,0
1654,2,8,1
1655,1,4,0
1656,2,4,1
1657,1,3,0
1658,2,3,0
1659,0,3,0
1660,1,4,1
1661,3,0,1
1662,0,4,0
1663,2,3,0
1664,3,8,1
